inconsciente	a 1.0 7.375
catorceavo	a 0.5 0.0
tremulo	a 0.0 1.125
intransitable	a 1.25 0.0
roque�o	a 0.0 1.375
aumentativo	a 0.5 0.0
lirico	a 0.25 0.75
engualdrapado	a 0.0 0.25
efectivo	a 2.375 0.125
lamelibranquio	a 0.0 0.375
disconforme	a 0.0 1.875
empalagoso	a 1.0 1.5
hipertenso	a 0.25 0.125
papal	a 0.5 2.5
esperado	a 0.25 0.125
baladi	a 1.625 2.375
ablandante	a 0.25 0.25
geografico	a 1.0 0.0
espabilado	a 3.0 1.25
mesurado	a 4.125 0.25
manifiesto	a 4.375 1.0
consagrado	a 1.875 0.0
sanguinario	a 0.0 3.5
docil	a 3.625 3.125
calorifico	a 2.75 0.125
churrigueresco	a 0.375 0.75
reticular	a 0.25 0.0
sonoro	a 1.125 0.25
veinte	a 0.0 0.5
inconstructivo	a 0.125 0.375
insalubre	a 1.25 2.625
vermiculado	a 0.875 0.125
deshilachado	a 0.0 2.75
anegado	a 0.25 1.375
reproducible	a 0.875 0.0
asolado	a 0.375 3.125
ensiforme	a 0.75 0.25
cortado	a 4.75 1.0
tambaleante	a 2.125 1.375
punzante	a 4.25 9.875
discriminador	a 0.5 0.5
ganancioso	a 0.125 1.375
terminal	a 0.375 1.875
cristiano	a 0.375 0.0
achaparrado	a 0.375 1.0
escabechado	a 0.25 0.0
privilegiado	a 1.75 0.0
autonomo	a 1.125 1.125
hesperido	a 0.0 0.375
cosmopolita	a 1.0 1.0
abulico	a 0.0 1.5
extraoficial	a 0.0 0.75
pituitario	a 0.0 0.375
recetada	a 0.125 0.125
analizado	a 0.125 0.0
imparcial	a 3.75 3.75
mensual	a 0.5 0.0
conglomerado	a 0.0 0.125
enciclopedico	a 0.75 0.0
substituible	a 1.0 0.0
invariado	a 0.375 0.25
demulcente	a 0.25 0.25
desigual	a 2.375 4.0
vigesimo	a 0.75 0.0
categorico	a 0.0 1.375
agresivo	a 3.25 2.025
escabroso	a 0.625 3.75
diserto	a 1.5 0.5
cabezota	a 0.875 5.375
patentado	a 0.0 1.0
elegiaco	a 0.0 0.5
terrestre	a 0.375 1.625
inconcluso	a 0.0 0.5
deflacionario	a 0.125 0.0
alfabetico	a 0.0 0.5
debil	a 5.375 18.75
excrescente	a 0.125 0.0
rompible	a 0.25 0.5
caseoso	a 0.0 0.75
moldeable	a 1.625 0.25
cateto	a 0.5 0.0
expansivo	a 2.625 1.0
oscilante	a 0.25 0.0
dual	a 1.625 1.375
servicial	a 3.75 0.0
kafkiano	a 0.375 0.375
soportable	a 0.75 3.375
aural	a 0.375 0.25
bucolico	a 0.5 0.0
insondable	a 0.5 0.625
simpatico	a 11.25 0.5
electo	a 0.0 0.5
cenizo	a 0.25 0.375
despoblado	a 0.0 0.5
astomo	a 0.0 1.0
fallido	a 1.75 6.625
cincuenta	a 0.0 1.25
experimental	a 1.0 0.0
humeante	a 0.125 0.5
sanioso	a 0.25 0.75
capado	a 0.75 0.125
instintivo	a 0.5 0.25
deseado	a 1.75 0.0
insurrecto	a 0.0 0.5
caramelo	a 0.5 0.0
estropeado	a 0.125 11.0
amovible	a 0.125 0.125
insistente	a 3.5 1.75
arri�onado	a 0.125 0.0
ocioso	a 0.375 1.75
extra	a 0.5 4.5
mimoso	a 0.75 0.0
anual	a 0.375 0.5
gris	a 2.125 1.5
adictivo	a 0.0 0.625
demostrable	a 1.125 0.0
reconstituyente	a 3.25 0.75
larguirucho	a 1.0 0.125
sangrado	a 0.0 0.875
venal	a 3.125 0.0
comprimible	a 0.5 0.0
bifacial	a 1.0 0.25
composicional	a 0.125 0.25
simplon	a 0.25 0.5
ventral	a 0.125 0.125
mucoso	a 0.0 0.75
inspiracional	a 1.625 0.0
fisionable	a 0.875 0.0
iletrado	a 0.875 1.375
cicatrizado	a 1.375 0.75
verrugoso	a 0.0 1.5
angular	a 1.125 0.0
mullido	a 0.375 0.375
irrespetuoso	a 2.625 9.0
viviparo	a 0.0 0.125
aperiodico	a 0.0 1.0
desinfectante	a 1.5 0.0
extranjero	a 0.5 0.75
indiscutible	a 1.875 4.5
tetrico	a 0.0 3.875
asombroso	a 3.5 2.125
independiente	a 1.875 1.625
miedoso	a 0.375 6.0
inmoble	a 0.0 0.75
compatible	a 2.125 0.0
cationico	a 0.5 0.0
selectivo	a 1.625 0.0
transitable	a 0.625 0.75
translucido	a 2.75 2.375
ritual	a 0.125 0.0
inquebrantable	a 5.0 3.375
candente	a 0.375 1.375
recuperado	a 1.375 0.75
columnario	a 0.5 0.25
discorde	a 0.5 3.875
propagandistico	a 0.75 0.25
etico	a 3.375 0.125
abatido	a 0.0 3.125
ataraxico	a 1.25 2.5
certificado	a 3.0 1.0
plumado	a 0.125 0.875
primordial	a 5.375 3.5
alarmante	a 0.0 3.0
pentasilabo	a 0.25 0.25
rustico	a 0.875 1.25
desdichado	a 1.6659999 9.584
desfalcado	a 0.75 0.25
aflautado	a 0.75 1.5
burlesco	a 0.25 0.0
amoniacal	a 0.0 0.25
irrazonable	a 0.5 1.5
alabastrino	a 0.125 0.125
sanguino	a 1.5 0.0
hibrido	a 0.5 0.625
hemostatico	a 0.25 0.75
peltado	a 0.125 0.0
variable	a 1.75 2.0
tranquilo	a 13.625 4.5
definido	a 2.75 0.5
nombroso	a 0.0 1.25
federal	a 0.125 0.125
vecinal	a 1.25 0.0
pavoroso	a 0.125 8.25
enloquecido	a 0.0 1.0
administrativo	a 0.25 0.0
flexional	a 0.375 0.125
mucilaginoso	a 0.875 2.375
haploclamideo	a 0.0 0.625
c	a 0.375 0.25
atono	a 0.75 3.125
indelicado	a 0.0 1.75
bicuspide	a 0.25 0.0
indocumentado	a 0.0 1.0
movible	a 0.75 0.0
limitrofe	a 0.75 0.125
entrenado	a 0.25 0.0
terete	a 0.25 0.0
chirriante	a 1.75 2.625
automatico	a 0.0 0.5
colinergico	a 0.125 0.125
universal	a 1.0 2.125
jefe	a 0.0 0.25
pegadizo	a 1.125 2.375
aventajado	a 0.375 0.125
1000	a 0.5 0.375
multiparo	a 0.125 0.0
disoluto	a 3.25 3.5
imberbe	a 0.25 0.25
inexacto	a 0.125 3.5
pagado	a 1.75 0.0
pervertido	a 0.125 5.75
reformatorio	a 0.5 1.25
excentrico	a 0.0 2.875
penal	a 0.125 2.0
voltariano	a 0.75 0.0
furioso	a 3.25 5.75
monocigotico	a 0.375 0.75
0	a 0.0 1.0
incultivable	a 0.5 1.5
escalfado	a 0.0 1.5
prosaico	a 0.25 0.375
exhibicionista	a 0.25 0.0
unifacial	a 0.0 0.875
monofonico	a 0.0 1.5
provocativo	a 1.875 1.375
arracimado	a 0.5 0.0
moral	a 3.375 0.125
impune	a 0.0 0.25
insidioso	a 0.0 1.875
histrionico	a 0.5 1.125
infiel	a 0.0 2.5
detectable	a 1.125 0.0
secular	a 0.25 0.5
descansado	a 0.25 0.0
triplicado	a 1.125 0.5
apocrifo	a 0.125 0.0
tramontano	a 0.75 0.25
acolchado	a 0.5 0.0
anisometropico	a 0.125 0.0
concavo	a 0.0 0.125
hereditario	a 0.625 0.875
obsceno	a 1.0 7.5
arido	a 1.5 4.875
insubmergible	a 0.0 1.25
paradojico	a 0.375 0.25
vivo	a 7.125 1.625
acecinado	a 0.375 0.0
vasto	a 1.75 0.25
idoneo	a 6.25 0.0
tenso	a 0.0 1.0
aprobatorio	a 2.0 0.0
amentifero	a 1.0 0.5
desesperanzado	a 1.125 0.5
asonante	a 0.25 0.25
sesgado	a 0.75 0.0
defensivo	a 0.5 1.0
desfasado	a 0.375 3.25
nutritivo	a 4.0 0.375
institucional	a 0.25 0.5
quincenal	a 0.5 0.375
singular	a 3.5 4.25
cenagoso	a 0.0 7.0
inceremonioso	a 0.125 0.75
mogol	a 0.0 0.25
dieciseis	a 0.0 0.375
despejado	a 2.0 0.875
asteriado	a 0.625 0.0
agrietado	a 0.5 0.625
nulo	a 0.0 3.0
imitado	a 0.5 5.125
granoso	a 0.25 2.25
desarmado	a 0.0 1.125
agusanado	a 1.375 0.75
agonal	a 0.0 0.25
argenteo	a 0.625 0.125
explotador	a 0.0 2.25
verminoso	a 0.0 0.875
orbicular	a 0.875 0.375
terrorifico	a 0.0 3.75
nebuloso	a 0.75 2.0
multable	a 0.0 1.0
anaclitico	a 0.125 0.0
punteado	a 0.0 0.625
agnostico	a 0.75 0.0
ignominioso	a 0.625 4.0
colosal	a 3.75 1.875
insolvente	a 0.0 1.75
persistente	a 1.125 1.5
frugal	a 0.375 1.375
unitario	a 0.75 0.0
asertivo	a 0.625 0.25
sobrepuesto	a 1.25 0.0
exento	a 0.0 0.5
delincuente	a 0.25 0.875
dispensable	a 0.0 0.75
veraniego	a 0.125 0.0
transplacentario	a 0.0 0.375
reprimido	a 1.125 0.375
aguado	a 0.25 2.375
abonable	a 0.375 0.375
renuente	a 0.375 2.5
rapado	a 0.875 0.0
fosilizado	a 0.0 1.125
terso	a 2.75 0.5
llegado	a 0.5 0.125
ataviado	a 0.125 0.75
militar	a 0.25 0.125
eudemonico	a 0.75 1.0
picnico	a 0.0 2.0
inalterable	a 5.0 6.5
letrado	a 2.375 0.0
jerarquico	a 1.25 0.125
maleable	a 3.375 0.25
matern	a 0.625 0.5
transversal	a 0.75 3.625
chulo	a 1.375 4.75
escamoso	a 0.125 0.625
amateur	a 1.25 1.875
heterozigoto	a 0.0 0.25
decente	a 6.0 0.0
honrado	a 11.0 1.0
subcutaneo	a 0.75 0.0
dietetico	a 1.5 0.0
pecable	a 0.5 1.25
tranquilizado	a 0.625 0.0
superable	a 2.25 0.25
estudiado	a 0.5 0.25
bochornoso	a 0.625 5.0
tranquilizador	a 1.625 0.0
deshojado	a 0.0 0.375
nominativo	a 0.0 0.25
intensional	a 0.375 0.0
macromolecular	a 0.125 0.0
acristalado	a 0.125 0.5
antiseptico	a 0.125 0.25
denton	a 0.5 0.0
afin	a 1.0 1.75
esferico	a 0.625 0.375
preferible	a 1.5 0.0
catorce	a 0.375 0.25
aventurero	a 1.25 0.5
enamorado	a 3.0 0.75
comprensivo	a 1.75 0.25
torrido	a 0.0 0.875
replegable	a 1.625 0.125
psicoquinetico	a 0.125 0.125
etereo	a 3.125 2.5
macho	a 0.375 0.75
imbecil	a 0.875 1.5
incontable	a 0.625 3.625
bactericida	a 1.5 0.0
gratis	a 2.125 2.0
colonizado	a 1.5 0.75
nervudo	a 0.625 1.5
habitado	a 0.0 0.25
mojado	a 0.0 0.5
gigantesco	a 2.375 0.25
rector	a 0.125 0.0
blanquinoso	a 0.5 0.25
eremitico	a 1.875 1.25
enmaderado	a 0.0 0.25
ametistino	a 0.125 0.125
m	a 0.5 0.375
infecto	a 1.05 1.325
tempestuoso	a 2.125 6.125
antiautoritario	a 0.0 0.375
bayo	a 0.125 0.0
picante	a 6.375 7.375
indomito	a 0.0 1.5
desabotonado	a 0.0 0.25
despedido	a 0.0 0.75
radiactivo	a 0.125 0.25
amfitropo	a 0.25 0.0
geomorfologico	a 1.25 0.0
conmovido	a 0.625 0.875
asimilable	a 0.375 0.0
refunfu�on	a 0.125 4.25
clarificativo	a 0.25 0.0
anodino	a 0.0 0.25
lodoso	a 0.0 7.0
post-mortem	a 0.0 0.25
reticulado	a 0.375 0.125
excitante	a 4.375 0.375
curioso	a 3.375 9.25
corajoso	a 0.75 0.5
hastiado	a 1.0 1.375
antifonico	a 1.75 0.125
racista	a 0.0 2.75
abotonado	a 0.0 0.375
sucinto	a 2.625 0.0
descabal	a 1.0 0.5
inflado	a 0.75 3.0
divino	a 6.375 0.0
grupal	a 0.0 0.125
racheado	a 0.0 0.5
critico	a 0.125 1.5
tejido	a 0.0 0.125
inigualado	a 2.0 0.0
contaminante	a 0.375 2.625
sustancioso	a 3.75 1.75
sucesivo	a 1.5 0.875
pueblerino	a 0.75 0.0
solicito	a 2.875 0.125
sujetado	a 0.25 0.0
ahogado	a 0.375 1.375
abollado	a 1.125 2.375
amistoso	a 3.0 0.125
oportuno	a 5.0 0.125
infinito	a 0.5 1.5
antiflogistico	a 0.0 0.75
antimagnetico	a 0.0 0.375
sexuado	a 0.375 0.25
ideal	a 4.25 3.25
ampollado	a 0.0 0.75
unilateralista	a 0.125 0.0
esfumado	a 0.0 1.75
segmental	a 0.0 3.375
deltoide	a 0.25 0.0
efervescente	a 0.75 0.25
laxante	a 0.125 0.5
desconectado	a 0.125 1.75
inundado	a 2.375 0.375
novedoso	a 0.375 0.25
esferoidal	a 1.125 0.25
refutable	a 1.25 2.5
averiguable	a 1.25 0.0
indisciplinado	a 0.25 2.875
tachonado	a 0.0 0.375
inalienable	a 0.375 1.375
13	a 0.375 0.25
jerga	a 0.25 0.0
laminado	a 0.375 0.125
dudoso	a 3.0 11.125
perdido	a 0.75 5.125
retumbante	a 0.875 0.125
oscilatorio	a 0.5 0.125
morganatico	a 0.0 0.625
extrovertido	a 1.125 1.0
redistribuido	a 0.375 0.125
regordete	a 1.375 2.125
filisteo	a 0.5 0.0
resbaloso	a 0.125 0.875
implantado	a 0.75 0.0
increible	a 4.125 3.0
laborioso	a 1.875 7.125
mimetico	a 0.5 0.0
cronico	a 0.625 1.75
abaxial	a 0.25 0.25
refrecante	a 3.625 0.5
descreido	a 0.125 0.625
sondable	a 1.0 0.0
ruborizado	a 0.625 2.125
localizado	a 0.75 0.25
pasiva	a 0.375 0.25
relevante	a 1.0 0.25
justificante	a 0.75 1.0
caulinar	a 0.0 0.25
inamovible	a 0.0 0.5
casta�o	a 0.625 0.5
rojizo	a 3.0 2.5
pupal	a 1.0 0.0
l	a 0.0 1.25
diurno	a 0.5 0.0
desamparado	a 0.0 0.25
comburente	a 2.0 0.0
granulado	a 0.222 0.778
intocable	a 0.0 1.125
acondroplastico	a 0.0 0.125
contrabajo	a 0.0 0.125
ciclico	a 0.25 0.25
veinticinco	a 0.0 0.25
aurigero	a 0.0 0.125
residente	a 0.0 0.125
braquicefalo	a 0.375 3.0
acosado	a 0.375 0.0
movedizo	a 0.625 0.125
claro	a 15.0 2.25
pesimo	a 0.25 1.0
satirico	a 0.0 0.25
asentado	a 0.5 0.25
piretico	a 0.0 0.5
selvoso	a 0.0 0.25
exterior	a 0.5 1.25
disonante	a 1.25 5.875
fonetico	a 0.0 0.25
sensitivo	a 1.0 1.375
aterrorizado	a 0.0 2.125
comunicacional	a 0.125 0.375
discrepante	a 0.0 3.375
inclinado	a 1.375 1.0
sabroso	a 8.25 2.625
frustratorio	a 1.25 1.375
vehemente	a 1.5 2.0
destemplado	a 0.0 0.125
sumario	a 2.125 0.125
pobre	a 2.013 11.8619995
irreductible	a 0.0 0.625
global	a 3.5 2.0
sufrido	a 0.5 0.5
ileso	a 0.625 1.25
apocrino	a 0.0 0.25
desventurado	a 1.416 7.2089996
misofobico	a 0.0 0.75
innecesario	a 0.75 4.625
estimulante	a 3.625 0.0
cosmico	a 0.0 0.25
elusivo	a 0.0 0.5
valenton	a 0.5 1.25
biparo	a 0.25 0.0
grotesco	a 2.375 3.625
asustadizo	a 0.0 1.125
soporifero	a 0.125 3.25
sediento	a 0.125 0.5
cubista	a 0.25 0.0
amortiguado	a 0.25 1.125
circundante	a 0.875 0.0
seguido	a 0.0 1.125
ti�oso	a 1.125 0.375
celebre	a 3.125 0.25
referenciado	a 0.5 0.25
sonado	a 1.5 8.875
recto	a 5.0 1.125
sombreado	a 0.0 1.875
seboso	a 0.0 0.5
sumiso	a 2.75 3.625
desmenuzado	a 0.125 0.375
reinante	a 0.375 0.0
impresionista	a 0.0 0.25
subnormal	a 0.0 0.75
clavado	a 1.75 0.0
sondeable	a 1.0 0.0
emparentado	a 0.25 0.875
mandarina	a 0.5 0.0
luxado	a 0.125 1.0
despegado	a 0.5 0.25
execrable	a 0.5 2.875
fraterno	a 3.75 0.0
jugueton	a 2.625 0.375
mordaz	a 7.5 9.0
diletante	a 2.5 1.0
autogeno	a 0.0 1.25
transportable	a 0.625 0.0
satisfecho	a 4.375 0.375
espartano	a 2.0 2.25
placido	a 1.0 0.0
chic	a 2.5 0.0
ulceroso	a 0.0 1.875
deslumbrante	a 7.958 4.667
llamativo	a 4.5 7.625
igualitario	a 0.625 0.625
movido	a 0.0 0.5
horizontal	a 0.125 0.125
centralizador	a 0.625 0.875
contrario	a 1.75 8.5
blanducho	a 0.375 0.0
almenado	a 0.5 1.0
enga�ado	a 0.0 1.0
especifico	a 0.125 0.0
imperturbable	a 6.75 5.375
fino	a 22.681 5.5690002
hedonico	a 1.625 0.0
implacable	a 0.806 6.1940002
taraceado	a 0.0 0.125
sesudo	a 1.875 0.125
suprimido	a 0.0 0.25
lindero	a 0.75 0.125
inidentificable	a 0.0 0.5
dimensional	a 0.5 0.0
realzado	a 0.75 0.0
obsequioso	a 0.625 0.0
biodegradable	a 0.625 0.0
seglar	a 0.25 0.5
insensato	a 0.5 1.875
revitalizado	a 0.75 0.0
embrionario	a 0.375 1.375
pensante	a 0.125 0.0
contrito	a 0.0 3.625
habitable	a 0.0 1.0
imaginado	a 0.875 0.75
entremetido	a 0.375 5.0
inexterminable	a 0.0 0.75
partenogenetico	a 0.0 3.125
untoso	a 0.0 1.75
degradante	a 0.125 3.875
ennoblecedor	a 1.5 0.0
repugnante	a 4.152 19.973
epidemico	a 0.25 1.0
desincronizado	a 0.0 1.0
ponderado	a 0.125 0.0
agrandado	a 0.0 1.5
carmesi	a 3.0 2.0
rentable	a 2.125 0.0
adrenergico	a 0.5 0.0
homofonico	a 0.125 0.0
catabolico	a 0.0 1.5
cerebral	a 1.25 0.25
honorado	a 3.0 0.0
junior	a 0.0 0.25
distribuible	a 0.0 0.375
aclorhidrico	a 0.125 0.375
adaxial	a 0.25 0.25
andantino	a 0.25 0.0
emocional	a 0.625 0.5
solemne	a 5.25 3.0
inolvidable	a 1.125 0.5
formado	a 1.625 0.5
enojado	a 0.375 2.125
cariat	a 0.0 0.5
cargante	a 0.0 9.0
alto	a 9.0 4.0
mesianico	a 0.125 0.0
flipado	a 0.125 0.0
azul	a 1.0 1.125
celeste	a 2.25 0.375
subsanable	a 1.25 0.0
cilindrico	a 0.5 1.125
venidero	a 1.125 0.125
sideral	a 0.375 0.0
rimado	a 1.0 0.75
conciso	a 3.625 0.125
seroso	a 0.125 0.125
nordestal	a 0.5 0.0
contenido	a 1.125 0.125
demode	a 0.375 1.625
colicoso	a 0.0 1.875
sentencioso	a 0.25 0.5
incontrolado	a 2.25 6.125
lamentoso	a 0.333 5.292
arruinado	a 0.375 7.5
bifocal	a 0.125 0.0
ladron	a 0.0 0.5
vulnerable	a 1.5 1.5
mutativo	a 0.125 0.125
trasmutable	a 1.25 0.0
verificado	a 0.25 0.0
herido	a 0.0 1.5
reprochable	a 0.0 5.25
grabado	a 2.125 0.25
plantado	a 0.25 0.0
chillon	a 3.625 6.625
inepto	a 1.0 4.75
siquico	a 0.75 0.0
idiota	a 0.625 1.625
integrado	a 1.875 1.875
inofensivo	a 2.75 3.25
lanudo	a 0.125 0.5
descongelado	a 0.0 0.125
combinable	a 1.0 1.375
insurgente	a 0.625 0.75
borracho	a 3.75 6.25
equidistante	a 0.5 0.0
macizo	a 5.25 0.625
didactico	a 0.25 0.75
deshonesto	a 1.75 3.5
volador	a 0.25 0.25
arable	a 2.5 0.0
immunizado	a 1.5 1.125
testeado	a 0.75 0.0
sobrecogedor	a 0.375 8.375
mutuo	a 0.625 0.5
rubio	a 1.0 0.125
oscuro	a 1.875 9.5
gozoso	a 2.375 1.25
gelido	a 0.875 5.75
bulbaceo	a 0.0 0.375
ovalado	a 1.125 0.75
durmiente	a 0.25 1.0
quisquilloso	a 3.125 6.125
irregular	a 2.375 2.75
lila	a 1.0 0.5
culpable	a 1.125 1.25
pecaminoso	a 0.25 3.625
venenoso	a 1.0 5.0
agramatical	a 0.0 0.75
relacionado	a 1.125 3.375
copiado	a 1.194 1.431
conducido	a 0.5 0.0
genuino	a 3.028 4.097
crespo	a 1.0 0.75
gazmo�o	a 7.125 0.75
remitente	a 0.125 0.75
centigrado	a 0.375 0.25
enrevesado	a 0.5 1.75
expectante	a 1.875 0.0
acorazonado	a 0.5 0.0
compuesto	a 1.25 0.375
viudo	a 0.0 0.75
planetario	a 0.25 0.375
deprimido	a 0.0 7.375
restante	a 1.125 3.0
atipico	a 0.125 2.25
bilabiado	a 0.25 0.0
resistente	a 1.125 3.0
carente	a 0.0 4.25
perforado	a 0.5 0.0
correlacionado	a 0.125 0.25
i	a 0.5 0.75
retenido	a 0.875 0.0
inducido	a 0.0 0.625
integrante	a 0.375 0.5
autografiado	a 0.125 0.375
supervisado	a 0.5 0.125
blasfemo	a 0.0 1.875
epistolar	a 0.125 0.625
sensacional	a 9.0 2.0
internacional	a 0.0 0.125
perpetuo	a 3.5 2.0
molecular	a 0.0 0.125
criticable	a 0.0 5.25
avaro	a 2.875 2.375
tentador	a 3.125 0.25
inadaptado	a 0.5 0.375
hipnotizador	a 1.5 0.0
nigromantico	a 1.0 0.0
barrado	a 0.125 0.0
consonantico	a 0.375 0.125
viable	a 2.0 0.0
biologico	a 0.5 0.25
involuntario	a 0.5 4.875
venturoso	a 1.875 0.125
apabullante	a 0.0 1.375
seco	a 6.25 6.0
postparto	a 0.0 0.25
chistoso	a 5.5 0.75
multiples	a 0.125 1.125
irrealizado	a 0.0 1.5
masticable	a 0.375 0.625
irreal	a 0.0 0.625
unanime	a 0.375 0.0
umbrio	a 0.0 3.125
impropio	a 0.875 5.625
juridico	a 1.875 0.0
vertical	a 0.375 0.5
sobreviviente	a 0.5 0.25
hembra	a 0.0 0.5
posesivo	a 0.625 0.0
raso	a 2.375 1.0
poderoso	a 2.5 0.0
matizado	a 0.0 0.5
intacto	a 4.875 3.25
acidofilo	a 0.0 0.75
exclusivo	a 1.625 2.375
reversible	a 0.25 0.0
proscrito	a 0.0 0.75
motorizado	a 0.625 0.0
fonico	a 0.0 0.25
centenario	a 1.25 0.0
22	a 0.375 0.125
x	a 0.375 0.375
extenuado	a 2.0 0.75
inadaptador	a 0.375 0.25
desposeido	a 0.0 2.625
antitetico	a 1.5 3.0
veintinueve	a 0.0 0.25
perturbador	a 0.25 7.375
certero	a 0.375 0.75
megalomaniaco	a 0.0 1.25
aferente	a 0.25 0.0
descontento	a 0.25 2.5
pre�ado	a 0.0 1.0
prensil	a 0.625 0.0
subliterario	a 0.0 0.375
considerado	a 5.5 0.25
empedernido	a 1.625 2.875
ido	a 3.0 9.375
restablecido	a 1.375 0.75
bravo	a 0.25 0.75
mesofitico	a 0.125 0.25
insuperable	a 6.375 1.75
ejercitado	a 1.0 0.0
opresivo	a 0.75 0.75
prudente	a 9.0 1.0
fotografico	a 0.375 0.0
sobrante	a 1.375 7.625
textil	a 0.0 0.25
teista	a 0.375 0.0
hojoso	a 0.0 0.25
capitalista	a 0.5 0.0
plumifero	a 0.0 0.125
arriba	a 0.0 0.125
hilarante	a 1.125 1.5
adolescente	a 1.75 1.25
dicotomo	a 0.0 1.125
vagil	a 0.375 0.5
angustiado	a 0.375 10.375
fijado	a 0.25 0.75
policromo	a 1.5 0.0
chocante	a 0.0 0.625
ba�ado	a 0.0 0.125
distinguido	a 10.25 0.875
potente	a 1.5 0.125
desconocido	a 2.375 7.125
descalzo	a 0.0 0.875
descubrible	a 1.25 0.0
investigador	a 0.75 0.0
estrafalario	a 0.75 6.75
respetuoso	a 2.875 0.75
premonitorio	a 0.0 1.0
ametista	a 0.0 0.125
artico	a 0.75 4.0
retorico	a 0.125 1.125
gravoso	a 0.375 1.125
atento	a 8.625 0.25
anatomico	a 0.75 0.25
dieciocho	a 1.125 0.125
describible	a 0.5 0.0
escoces	a 0.0 0.25
criminal	a 0.375 1.625
invertebrado	a 0.0 0.25
glutinoso	a 0.875 2.375
impudico	a 0.5 1.5
importante	a 8.375 2.125
astilar	a 0.0 0.25
espontaneo	a 1.125 0.75
iracundo	a 0.625 4.125
casera	a 0.375 0.0
